Scan,Time,1001(c),1002(c),1003(c),1004(c),1005(c),1006(c),1007(c),1008(c),1009(c),1010(c),1011(c),1012(c),1013(c),1014(c),1015(c),1016(c),1017(c),1018(c),1019(c),1020(c),1021(c),1022(c),1023(c),1024(c),1025(c),1026(c),1027(c),1028(c),1029(c),1030(c),1031(c),1032(c),1033(c),1034(c),1035(c),1036(c),1037(c),1038(c),1039(c),1040(c),2001(c),2002(c),2003(c),2004(c),2005(c),2006(c),2007(c),2008(c),2009(c),2010(c),2011(c),2012(c),2013(c),2014(c),2015(c),2016(c),2017(c),2018(c),2019(c),2020(c),2021(c),2022(c),2023(c),2024(c),2025(c),2026(c),2027(c),2028(c),2029(c),2030(c),2031(c),2032(c),2033(c),2034(c),2035(c),2036(c),2037(c),2038(c),2039(c),2040(c),3006(c),3007(c),3008(c),3009(c),3016(c),3017(c),3018(c),3019(c),3026(c),3027(c),3028(c),3029(c),3036(c),3037(c),3038(c),3039(c),3040(c)
33,2020/12/15 11:15:05,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,24.901,25.057,25.057
34,2020/12/15 11:15:10,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,24.854,25.021,25.021
35,2020/12/15 11:15:15,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.077,25.131,25.131
36,2020/12/15 11:15:20,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.056,25.013,25.013
37,2020/12/15 11:15:25,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.942,24.82,24.82
38,2020/12/15 11:15:30,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,24.773,25.084,25.084
39,2020/12/15 11:15:35,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,25.155,24.823,24.823
40,2020/12/15 11:15:40,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,24.87,25.038,25.038
41,2020/12/15 11:15:45,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.784,24.997,24.997
42,2020/12/15 11:15:50,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.09,25.098,25.098
43,2020/12/15 11:15:55,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.22,25.089,25.089
44,2020/12/15 11:16:00,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.711,24.978,24.978
45,2020/12/15 11:16:05,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,24.956,25.091,25.091
46,2020/12/15 11:16:10,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,25.253,24.73,24.73
47,2020/12/15 11:16:15,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,24.737,25.096,25.096
48,2020/12/15 11:16:20,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.828,24.748,24.748
49,2020/12/15 11:16:25,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.96,24.816,24.816
50,2020/12/15 11:16:30,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,24.733,25.141,25.141
51,2020/12/15 11:16:35,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.983,24.965,24.965
52,2020/12/15 11:16:40,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,25.213,24.908,24.908
53,2020/12/15 11:16:45,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,24.762,25.002,25.002
54,2020/12/15 11:16:50,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.8,24.974,24.974
55,2020/12/15 11:16:55,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,25.239,24.778,24.778
56,2020/12/15 11:17:00,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.272,25.292,25.292
57,2020/12/15 11:17:05,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.837,24.89,24.89
58,2020/12/15 11:17:10,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.199,25.179,25.179
59,2020/12/15 11:17:15,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,24.893,25.045,25.045
60,2020/12/15 11:17:20,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,25.091,24.82,24.82
61,2020/12/15 11:17:25,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,25.064,24.839,24.839
62,2020/12/15 11:17:30,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.857,24.737,24.737
63,2020/12/15 11:17:35,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,25.032,24.743,24.743
64,2020/12/15 11:17:40,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,24.928,25.235,25.235
65,2020/12/15 11:17:45,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.236,25.212,25.212
